geography,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,total_crashes_per_100k,fatal_crashes_per_100k,injury_or_fatal_crashes_per_100k
Connecticut (statewide),2025,Pedestrian/vehicle,1375,55,1232,3605944,38.13148512567028,1.5252594050268113,34.16581067260057
Connecticut (statewide),2025,Vehicle/vehicle,101598,172,22092,3605944,2817.5146369438903,4.7699021393565735,612.6551050154966
Five largest cities,2015,Cyclist/vehicle,227,2,183,653604,34.730509605204375,0.30599567934100774,27.998604659702206
Five largest cities,2015,Pedestrian/vehicle,592,9,539,653604,90.57472108493828,1.3769805570345348,82.46583558240158
Five largest cities,2015,Vehicle/vehicle,30215,26,6737,653604,4622.829725644274,3.9779438314331004,1030.7464458601844
Five largest cities,2016,Cyclist/vehicle,231,1,194,653604,35.342500963886394,0.15299783967050387,29.681580896077747
Five largest cities,2016,Pedestrian/vehicle,721,17,671,653604,110.31144240243329,2.600963274398566,102.66155041890809
Five largest cities,2016,Vehicle/vehicle,32362,38,7569,653604,4951.316087416845,5.813917907479146,1158.0406484660436
Five largest cities,2017,Cyclist/vehicle,230,1,183,653604,35.18950312421588,0.15299783967050387,27.998604659702206
Five largest cities,2017,Pedestrian/vehicle,715,18,651,653604,109.39345536441026,2.7539611140690696,99.60159362549801
Five largest cities,2017,Vehicle/vehicle,31308,36,7206,653604,4790.056364404135,5.507922228138139,1102.5024326656508
Five largest cities,2018,Cyclist/vehicle,176,1,141,653604,26.92761978200868,0.15299783967050387,21.572695393541043
Five largest cities,2018,Pedestrian/vehicle,654,20,609,653604,100.06058714450953,3.0599567934100773,93.17568435933686
Five largest cities,2018,Vehicle/vehicle,31106,45,7424,653604,4759.150800790693,6.884902785172674,1135.8559617138205
Five largest cities,2019,Cyclist/vehicle,194,0,161,653604,29.681580896077747,0,24.63265218695112
Five largest cities,2019,Pedestrian/vehicle,748,19,685,653604,114.44238407353689,2.906958953739573,104.80352017429514
Five largest cities,2019,Vehicle/vehicle,30619,30,7396,653604,4684.640852871157,4.589935190115116,1131.5720222030466
Five largest cities,2020,Cyclist/vehicle,137,4,108,653604,20.960704034859027,0.6119913586820155,16.523766684414415
Five largest cities,2020,Pedestrian/vehicle,538,22,492,653604,82.31283774273108,3.365952472751085,75.27493711788789
Five largest cities,2020,Vehicle/vehicle,24050,39,6202,653604,3679.5980440756175,5.96691574714965,948.892601636465
Five largest cities,2021,Cyclist/vehicle,110,1,94,653604,16.82976236375542,0.15299783967050387,14.381796929027361
Five largest cities,2021,Pedestrian/vehicle,521,19,478,653604,79.71187446833251,2.906958953739573,73.13296736250084
Five largest cities,2021,Vehicle/vehicle,26988,37,6800,653604,4129.105697027559,5.660920067808642,1040.3853097594263
Five largest cities,2022,Cyclist/vehicle,101,2,88,653604,15.452781806720889,0.30599567934100774,13.46380989100434
