geography,year,crash_type,total_crashes,fatal_crashes,fatal_pct
Waterbury,2016,Vehicle/vehicle,5552,9,0.16210374639769454
Waterbury,2017,Cyclist/vehicle,14,0,0
Waterbury,2017,Pedestrian/vehicle,119,6,5.042016806722689
Waterbury,2017,Vehicle/vehicle,5928,10,0.16869095816464239
Waterbury,2018,Cyclist/vehicle,10,1,10
Waterbury,2018,Pedestrian/vehicle,119,2,1.680672268907563
Waterbury,2018,Vehicle/vehicle,5999,6,0.10001666944490749
Waterbury,2019,Cyclist/vehicle,19,0,0
Waterbury,2019,Pedestrian/vehicle,132,4,3.0303030303030303
Waterbury,2019,Vehicle/vehicle,5706,8,0.14020329477742727
Waterbury,2020,Cyclist/vehicle,12,0,0
Waterbury,2020,Pedestrian/vehicle,101,6,5.9405940594059405
Waterbury,2020,Vehicle/vehicle,4724,6,0.12701100762066045
Waterbury,2021,Cyclist/vehicle,16,0,0
Waterbury,2021,Pedestrian/vehicle,96,1,1.0416666666666665
Waterbury,2021,Vehicle/vehicle,5179,6,0.11585248117397182
Waterbury,2022,Cyclist/vehicle,9,1,11.11111111111111
Waterbury,2022,Pedestrian/vehicle,102,5,4.901960784313726
Waterbury,2022,Vehicle/vehicle,4806,15,0.3121098626716604
Waterbury,2023,Cyclist/vehicle,18,0,0
Waterbury,2023,Pedestrian/vehicle,78,3,3.8461538461538463
Waterbury,2023,Vehicle/vehicle,4630,12,0.2591792656587473
Waterbury,2024,Cyclist/vehicle,21,1,4.761904761904762
Waterbury,2024,Pedestrian/vehicle,114,5,4.385964912280701
Waterbury,2024,Vehicle/vehicle,4401,10,0.22722108611679162
Waterbury,2025,Cyclist/vehicle,15,0,0
Waterbury,2025,Pedestrian/vehicle,86,1,1.1627906976744187
Waterbury,2025,Vehicle/vehicle,4439,6,0.13516557783284522
