geography,year,group,population,metric,count,rate_per_100k
Five largest cities,2024,Pedestrian/Cyclist/Other,653604,Total crashes,825,126.2232177281657
Five largest cities,2024,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,713,109.08745968506925
Five largest cities,2024,Pedestrian/Cyclist/Other,653604,Fatal crashes,24,3.6719481520920927
Five largest cities,2025,Pedestrian/Cyclist/Other,653604,Total crashes,770,117.80833654628798
Five largest cities,2025,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,678,103.73253529660163
Five largest cities,2025,Pedestrian/Cyclist/Other,653604,Fatal crashes,15,2.294967595057558
Hartford,2015,Driver/Passenger,121054,Total crashes,6580,5435.590728104812
Hartford,2015,Driver/Passenger,121054,Injury or fatal crashes,1592,1315.1155682587935
Hartford,2015,Driver/Passenger,121054,Fatal crashes,5,4.130388091265055
Hartford,2016,Driver/Passenger,121054,Total crashes,7401,6113.800452690535
Hartford,2016,Driver/Passenger,121054,Injury or fatal crashes,1862,1538.1565251871066
Hartford,2016,Driver/Passenger,121054,Fatal crashes,8,6.6086209460240894
Hartford,2017,Driver/Passenger,121054,Total crashes,6795,5613.19741602921
Hartford,2017,Driver/Passenger,121054,Injury or fatal crashes,1657,1368.8106134452394
Hartford,2017,Driver/Passenger,121054,Fatal crashes,9,7.4346985642771
Hartford,2018,Driver/Passenger,121054,Total crashes,6795,5613.19741602921
Hartford,2018,Driver/Passenger,121054,Injury or fatal crashes,1693,1398.5494077023477
Hartford,2018,Driver/Passenger,121054,Fatal crashes,12,9.912931419036132
Hartford,2019,Driver/Passenger,121054,Total crashes,6924,5719.761428783849
Hartford,2019,Driver/Passenger,121054,Injury or fatal crashes,1642,1356.419449171444
Hartford,2019,Driver/Passenger,121054,Fatal crashes,12,9.912931419036132
Hartford,2020,Driver/Passenger,121054,Total crashes,5374,4439.341120491681
Hartford,2020,Driver/Passenger,121054,Injury or fatal crashes,1510,1247.3772035620468
Hartford,2020,Driver/Passenger,121054,Fatal crashes,13,10.739009037289144
Hartford,2021,Driver/Passenger,121054,Total crashes,5343,4413.732714325838
Hartford,2021,Driver/Passenger,121054,Injury or fatal crashes,1445,1193.682158375601
Hartford,2021,Driver/Passenger,121054,Fatal crashes,12,9.912931419036132
Hartford,2022,Driver/Passenger,121054,Total crashes,5227,4317.907710608489
Hartford,2022,Driver/Passenger,121054,Injury or fatal crashes,1391,1149.0739669899383
Hartford,2022,Driver/Passenger,121054,Fatal crashes,8,6.6086209460240894
Hartford,2023,Driver/Passenger,121054,Total crashes,5368,4434.384654782163
Hartford,2023,Driver/Passenger,121054,Injury or fatal crashes,1439,1188.7256926660828
Hartford,2023,Driver/Passenger,121054,Fatal crashes,5,4.130388091265055
Hartford,2024,Driver/Passenger,121054,Total crashes,5915,4886.24911196656
Hartford,2024,Driver/Passenger,121054,Injury or fatal crashes,1398,1154.8565103177093
Hartford,2024,Driver/Passenger,121054,Fatal crashes,9,7.4346985642771
Hartford,2025,Driver/Passenger,121054,Total crashes,6233,5148.941794571018
Hartford,2025,Driver/Passenger,121054,Injury or fatal crashes,1428,1179.6388388653
Hartford,2025,Driver/Passenger,121054,Fatal crashes,10,8.26077618253011
Hartford,2015,Pedestrian/Cyclist/Other,121054,Total crashes,186,153.65043699506006
Hartford,2015,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,167,137.95496224825285
Hartford,2015,Pedestrian/Cyclist/Other,121054,Fatal crashes,4,3.3043104730120447
Hartford,2016,Pedestrian/Cyclist/Other,121054,Total crashes,235,194.12824028945758
Hartford,2016,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,217,179.2588431609034
Hartford,2016,Pedestrian/Cyclist/Other,121054,Fatal crashes,2,1.6521552365060224
Hartford,2017,Pedestrian/Cyclist/Other,121054,Total crashes,209,172.6502222148793
Hartford,2017,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,193,159.43298032283113
Hartford,2017,Pedestrian/Cyclist/Other,121054,Fatal crashes,1,0.8260776182530112
Hartford,2018,Pedestrian/Cyclist/Other,121054,Total crashes,193,159.43298032283113
Hartford,2018,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,176,145.38966081252997
Hartford,2018,Pedestrian/Cyclist/Other,121054,Fatal crashes,9,7.4346985642771
Hartford,2019,Pedestrian/Cyclist/Other,121054,Total crashes,203,167.69375650536125
Hartford,2019,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,186,153.65043699506006
Hartford,2019,Pedestrian/Cyclist/Other,121054,Fatal crashes,3,2.478232854759033
Hartford,2020,Pedestrian/Cyclist/Other,121054,Total crashes,151,124.73772035620466
Hartford,2020,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,136,112.34655608240949
Hartford,2020,Pedestrian/Cyclist/Other,121054,Fatal crashes,4,3.3043104730120447
Hartford,2021,Pedestrian/Cyclist/Other,121054,Total crashes,99,81.78168420704809
Hartford,2021,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,95,78.47737373403605
Hartford,2021,Pedestrian/Cyclist/Other,121054,Fatal crashes,5,4.130388091265055
Hartford,2022,Pedestrian/Cyclist/Other,121054,Total crashes,115,94.99892609909627
Hartford,2022,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,106,87.56422753481917
Hartford,2022,Pedestrian/Cyclist/Other,121054,Fatal crashes,7,5.782543327771077
Hartford,2023,Pedestrian/Cyclist/Other,121054,Total crashes,146,120.60733226493961
Hartford,2023,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,130,107.39009037289145
Hartford,2023,Pedestrian/Cyclist/Other,121054,Fatal crashes,6,4.956465709518066
Hartford,2024,Pedestrian/Cyclist/Other,121054,Total crashes,191,157.7808250863251
Hartford,2024,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,163,134.6506517752408
Hartford,2024,Pedestrian/Cyclist/Other,121054,Fatal crashes,7,5.782543327771077
Hartford,2025,Pedestrian/Cyclist/Other,121054,Total crashes,189,156.1286698498191
Hartford,2025,Pedestrian/Cyclist/Other,121054,Injury or fatal crashes,164,135.47672939349383
Hartford,2025,Pedestrian/Cyclist/Other,121054,Fatal crashes,5,4.130388091265055
New Haven,2015,Driver/Passenger,134023,Total crashes,7956,5936.29451661282
New Haven,2015,Driver/Passenger,134023,Injury or fatal crashes,1792,1337.0839333547226
New Haven,2015,Driver/Passenger,134023,Fatal crashes,7,5.222984114666885
New Haven,2016,Driver/Passenger,134023,Total crashes,7532,5619.930907381568
New Haven,2016,Driver/Passenger,134023,Injury or fatal crashes,1730,1290.8232169105304
New Haven,2016,Driver/Passenger,134023,Fatal crashes,12,8.95368705371466
New Haven,2017,Driver/Passenger,134023,Total crashes,7558,5639.330562664617
New Haven,2017,Driver/Passenger,134023,Injury or fatal crashes,1754,1308.7305910179596
New Haven,2017,Driver/Passenger,134023,Fatal crashes,8,5.9691247024764404
New Haven,2018,Driver/Passenger,134023,Total crashes,7153,5337.143624601747
New Haven,2018,Driver/Passenger,134023,Injury or fatal crashes,1820,1357.9758698133903
New Haven,2018,Driver/Passenger,134023,Fatal crashes,16,11.938249404952881
New Haven,2019,Driver/Passenger,134023,Total crashes,7270,5424.442073375466
New Haven,2019,Driver/Passenger,134023,Injury or fatal crashes,1858,1386.3292121501534
New Haven,2019,Driver/Passenger,134023,Fatal crashes,9,6.715265290285996
New Haven,2020,Driver/Passenger,134023,Total crashes,5546,4138.095699991793
New Haven,2020,Driver/Passenger,134023,Injury or fatal crashes,1471,1097.5728046678555
New Haven,2020,Driver/Passenger,134023,Fatal crashes,6,4.47684352685733
New Haven,2021,Driver/Passenger,134023,Total crashes,6600,4924.527879543063
New Haven,2021,Driver/Passenger,134023,Injury or fatal crashes,1621,1209.4938928392887
New Haven,2021,Driver/Passenger,134023,Fatal crashes,12,8.95368705371466
New Haven,2022,Driver/Passenger,134023,Total crashes,6737,5026.749140072972
New Haven,2022,Driver/Passenger,134023,Injury or fatal crashes,1573,1173.6791446244301
New Haven,2022,Driver/Passenger,134023,Fatal crashes,13,9.699827641524216
New Haven,2023,Driver/Passenger,134023,Total crashes,6617,4937.212269535826
New Haven,2023,Driver/Passenger,134023,Injury or fatal crashes,1477,1102.049648194713
New Haven,2023,Driver/Passenger,134023,Fatal crashes,8,5.9691247024764404
New Haven,2024,Driver/Passenger,134023,Total crashes,6406,4779.77660550801
New Haven,2024,Driver/Passenger,134023,Injury or fatal crashes,1413,1054.2966505749014
New Haven,2024,Driver/Passenger,134023,Fatal crashes,9,6.715265290285996
New Haven,2025,Driver/Passenger,134023,Total crashes,6604,4927.512441894301
New Haven,2025,Driver/Passenger,134023,Injury or fatal crashes,1261,940.883281227849
New Haven,2025,Driver/Passenger,134023,Fatal crashes,5,3.7307029390477755
New Haven,2015,Pedestrian/Cyclist/Other,134023,Total crashes,224,167.13549166934033
New Haven,2015,Pedestrian/Cyclist/Other,134023,Injury or fatal crashes,185,138.03600874476768
New Haven,2015,Pedestrian/Cyclist/Other,134023,Fatal crashes,0,0
New Haven,2016,Pedestrian/Cyclist/Other,134023,Total crashes,257,191.75813106705564
New Haven,2016,Pedestrian/Cyclist/Other,134023,Injury or fatal crashes,222,165.64321049372123
New Haven,2016,Pedestrian/Cyclist/Other,134023,Fatal crashes,3,2.238421763428665
New Haven,2017,Pedestrian/Cyclist/Other,134023,Total crashes,276,205.93480223543722
New Haven,2017,Pedestrian/Cyclist/Other,134023,Injury or fatal crashes,231,172.35847578400723
New Haven,2017,Pedestrian/Cyclist/Other,134023,Fatal crashes,3,2.238421763428665
New Haven,2018,Pedestrian/Cyclist/Other,134023,Total crashes,222,165.64321049372123
New Haven,2018,Pedestrian/Cyclist/Other,134023,Injury or fatal crashes,191,142.512852271625
New Haven,2018,Pedestrian/Cyclist/Other,134023,Fatal crashes,3,2.238421763428665
New Haven,2019,Pedestrian/Cyclist/Other,134023,Total crashes,288,214.88848928915186
New Haven,2019,Pedestrian/Cyclist/Other,134023,Injury or fatal crashes,254,189.51970930362697
New Haven,2019,Pedestrian/Cyclist/Other,134023,Fatal crashes,8,5.9691247024764404
New Haven,2020,Pedestrian/Cyclist/Other,134023,Total crashes,194,144.75127403505368
