town,year,group,deaths
East Windsor,2021,Driver/Passenger,1
East Windsor,2022,Driver/Passenger,1
East Windsor,2022,Pedestrian/Cyclist/Other,1
East Windsor,2023,Driver/Passenger,1
East Windsor,2024,Driver/Passenger,1
East Windsor,2025,Driver/Passenger,1
East Windsor,2025,Pedestrian/Cyclist/Other,1
Eastford,2015,Driver/Passenger,2
Eastford,2016,Driver/Passenger,2
Eastford,2019,Driver/Passenger,1
Easton,2016,Driver/Passenger,1
Easton,2019,Driver/Passenger,1
Easton,2020,Driver/Passenger,1
Easton,2023,Driver/Passenger,3
Easton,2024,Driver/Passenger,2
Ellington,2015,Driver/Passenger,1
Ellington,2018,Driver/Passenger,1
Ellington,2019,Driver/Passenger,1
Ellington,2021,Driver/Passenger,1
Ellington,2024,Driver/Passenger,1
Enfield,2015,Driver/Passenger,1
Enfield,2016,Driver/Passenger,3
Enfield,2016,Pedestrian/Cyclist/Other,2
Enfield,2017,Driver/Passenger,2
Enfield,2018,Driver/Passenger,7
Enfield,2019,Driver/Passenger,1
Enfield,2019,Pedestrian/Cyclist/Other,1
Enfield,2020,Driver/Passenger,2
Enfield,2020,Pedestrian/Cyclist/Other,1
Enfield,2021,Driver/Passenger,4
Enfield,2022,Driver/Passenger,1
Enfield,2023,Driver/Passenger,2
Enfield,2023,Pedestrian/Cyclist/Other,1
Enfield,2024,Driver/Passenger,5
Enfield,2025,Driver/Passenger,2
Enfield,2025,Pedestrian/Cyclist/Other,4
Essex,2016,Driver/Passenger,1
Essex,2017,Driver/Passenger,1
Essex,2018,Driver/Passenger,1
Essex,2019,Driver/Passenger,2
Fairfield,2015,Driver/Passenger,3
Fairfield,2016,Driver/Passenger,2
Fairfield,2016,Pedestrian/Cyclist/Other,2
Fairfield,2017,Driver/Passenger,3
Fairfield,2017,Pedestrian/Cyclist/Other,1
Fairfield,2018,Driver/Passenger,1
Fairfield,2019,Driver/Passenger,1
Fairfield,2020,Driver/Passenger,2
Fairfield,2020,Pedestrian/Cyclist/Other,2
Fairfield,2021,Driver/Passenger,2
Fairfield,2021,Pedestrian/Cyclist/Other,1
Fairfield,2022,Driver/Passenger,1
Fairfield,2023,Pedestrian/Cyclist/Other,3
Fairfield,2024,Driver/Passenger,2
Fairfield,2025,Driver/Passenger,1
Fairfield,2025,Pedestrian/Cyclist/Other,1
Farmington,2015,Driver/Passenger,2
Farmington,2016,Driver/Passenger,1
Farmington,2017,Driver/Passenger,2
Farmington,2018,Driver/Passenger,2
Farmington,2019,Driver/Passenger,1
Farmington,2019,Pedestrian/Cyclist/Other,1
Farmington,2021,Driver/Passenger,3
Farmington,2022,Driver/Passenger,4
Farmington,2023,Driver/Passenger,2
Farmington,2024,Driver/Passenger,1
Farmington,2025,Driver/Passenger,2
Farmington,2025,Pedestrian/Cyclist/Other,1
Franklin,2019,Driver/Passenger,1
Franklin,2020,Driver/Passenger,2
Franklin,2021,Driver/Passenger,4
Franklin,2022,Driver/Passenger,3
Franklin,2023,Driver/Passenger,1
Franklin,2024,Driver/Passenger,1
Glastonbury,2015,Driver/Passenger,2
Glastonbury,2017,Driver/Passenger,1
Glastonbury,2018,Driver/Passenger,2
Glastonbury,2018,Pedestrian/Cyclist/Other,2
Glastonbury,2019,Driver/Passenger,1
Glastonbury,2020,Driver/Passenger,1
Glastonbury,2020,Pedestrian/Cyclist/Other,1
Glastonbury,2021,Driver/Passenger,1
Glastonbury,2021,Pedestrian/Cyclist/Other,1
Glastonbury,2022,Driver/Passenger,4
Glastonbury,2023,Driver/Passenger,4
Glastonbury,2024,Driver/Passenger,3
Glastonbury,2025,Driver/Passenger,1
Glastonbury,2025,Pedestrian/Cyclist/Other,1
Goshen,2019,Driver/Passenger,1
Goshen,2020,Driver/Passenger,1
Goshen,2021,Driver/Passenger,1
Goshen,2022,Driver/Passenger,1
Goshen,2024,Driver/Passenger,1
Granby,2015,Driver/Passenger,3
Granby,2017,Driver/Passenger,1
Granby,2017,Pedestrian/Cyclist/Other,1
Granby,2018,Driver/Passenger,1
Granby,2021,Driver/Passenger,1
Greenwich,2015,Driver/Passenger,1
Greenwich,2015,Pedestrian/Cyclist/Other,1
Greenwich,2016,Driver/Passenger,1
Greenwich,2016,Pedestrian/Cyclist/Other,2
Greenwich,2017,Driver/Passenger,1
Greenwich,2017,Pedestrian/Cyclist/Other,2
Greenwich,2018,Driver/Passenger,1
Greenwich,2018,Pedestrian/Cyclist/Other,1
Greenwich,2019,Pedestrian/Cyclist/Other,1
Greenwich,2020,Driver/Passenger,2
Greenwich,2020,Pedestrian/Cyclist/Other,2
Greenwich,2021,Driver/Passenger,5
Greenwich,2023,Driver/Passenger,4
Greenwich,2023,Pedestrian/Cyclist/Other,1
Greenwich,2025,Driver/Passenger,2
Greenwich,2025,Pedestrian/Cyclist/Other,2
Griswold,2016,Driver/Passenger,1
Griswold,2017,Driver/Passenger,2
Griswold,2018,Driver/Passenger,2
Griswold,2019,Driver/Passenger,2
Griswold,2021,Driver/Passenger,4
Griswold,2021,Pedestrian/Cyclist/Other,1
Griswold,2023,Driver/Passenger,2
Griswold,2023,Pedestrian/Cyclist/Other,1
Griswold,2024,Driver/Passenger,5
Griswold,2024,Pedestrian/Cyclist/Other,1
Griswold,2025,Driver/Passenger,3
Groton,2015,Driver/Passenger,2
Groton,2016,Driver/Passenger,1
Groton,2016,Pedestrian/Cyclist/Other,1
Groton,2017,Driver/Passenger,2
Groton,2018,Driver/Passenger,2
Groton,2020,Driver/Passenger,2
Groton,2020,Pedestrian/Cyclist/Other,1
Groton,2022,Driver/Passenger,4
Groton,2023,Driver/Passenger,4
Groton,2024,Driver/Passenger,8
Groton,2025,Driver/Passenger,4
Guilford,2015,Driver/Passenger,3
Guilford,2015,Pedestrian/Cyclist/Other,1
Guilford,2016,Driver/Passenger,1
Guilford,2017,Driver/Passenger,1
Guilford,2018,Driver/Passenger,2
Guilford,2019,Driver/Passenger,3
Guilford,2021,Driver/Passenger,2
Guilford,2022,Driver/Passenger,8
Guilford,2023,Driver/Passenger,1
