town,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bridgewater,2021,Driver/Passenger,35,0,15
Bridgewater,2022,Driver/Passenger,29,1,9
Bridgewater,2023,Driver/Passenger,42,0,16
Bridgewater,2024,Driver/Passenger,33,0,6
Bridgewater,2025,Driver/Passenger,35,0,5
Bristol,2015,Driver/Passenger,1793,5,427
Bristol,2015,Pedestrian/Cyclist/Other,28,0,25
Bristol,2016,Driver/Passenger,1813,3,436
Bristol,2016,Pedestrian/Cyclist/Other,26,2,25
Bristol,2017,Driver/Passenger,1888,4,400
Bristol,2017,Pedestrian/Cyclist/Other,30,2,25
Bristol,2018,Driver/Passenger,1704,2,380
Bristol,2018,Pedestrian/Cyclist/Other,26,2,25
Bristol,2019,Driver/Passenger,1602,2,342
Bristol,2019,Pedestrian/Cyclist/Other,24,1,24
Bristol,2020,Driver/Passenger,1298,1,316
Bristol,2020,Pedestrian/Cyclist/Other,26,1,25
Bristol,2021,Driver/Passenger,1408,2,356
Bristol,2021,Pedestrian/Cyclist/Other,25,1,24
Bristol,2022,Driver/Passenger,1424,4,366
Bristol,2022,Pedestrian/Cyclist/Other,27,3,24
Bristol,2023,Driver/Passenger,1390,4,341
Bristol,2023,Pedestrian/Cyclist/Other,20,0,17
Bristol,2024,Driver/Passenger,1409,3,312
Bristol,2024,Pedestrian/Cyclist/Other,28,4,26
Bristol,2025,Driver/Passenger,1327,6,297
Bristol,2025,Pedestrian/Cyclist/Other,30,0,30
Brookfield,2015,Driver/Passenger,447,1,111
Brookfield,2015,Pedestrian/Cyclist/Other,3,0,3
Brookfield,2016,Driver/Passenger,417,1,106
Brookfield,2016,Pedestrian/Cyclist/Other,7,0,7
Brookfield,2017,Driver/Passenger,434,1,108
Brookfield,2017,Pedestrian/Cyclist/Other,3,1,3
Brookfield,2018,Driver/Passenger,440,0,103
Brookfield,2018,Pedestrian/Cyclist/Other,6,1,5
Brookfield,2019,Driver/Passenger,435,1,97
Brookfield,2019,Pedestrian/Cyclist/Other,6,1,6
Brookfield,2020,Driver/Passenger,329,1,83
Brookfield,2020,Pedestrian/Cyclist/Other,1,0,1
Brookfield,2021,Driver/Passenger,390,0,90
Brookfield,2021,Pedestrian/Cyclist/Other,2,0,2
Brookfield,2022,Driver/Passenger,415,0,99
Brookfield,2022,Pedestrian/Cyclist/Other,4,0,1
Brookfield,2023,Driver/Passenger,413,0,86
Brookfield,2023,Pedestrian/Cyclist/Other,1,0,1
Brookfield,2024,Driver/Passenger,289,1,74
Brookfield,2025,Driver/Passenger,295,0,68
Brookfield,2025,Pedestrian/Cyclist/Other,2,0,2
Brooklyn,2015,Driver/Passenger,125,2,37
Brooklyn,2015,Pedestrian/Cyclist/Other,4,1,4
Brooklyn,2016,Driver/Passenger,119,2,40
Brooklyn,2016,Pedestrian/Cyclist/Other,3,1,3
Brooklyn,2017,Driver/Passenger,126,0,36
Brooklyn,2017,Pedestrian/Cyclist/Other,1,0,1
Brooklyn,2018,Driver/Passenger,125,3,37
Brooklyn,2019,Driver/Passenger,116,3,37
Brooklyn,2019,Pedestrian/Cyclist/Other,2,1,2
Brooklyn,2020,Driver/Passenger,86,0,20
Brooklyn,2020,Pedestrian/Cyclist/Other,1,0,1
Brooklyn,2021,Driver/Passenger,108,1,33
Brooklyn,2022,Driver/Passenger,105,4,34
Brooklyn,2022,Pedestrian/Cyclist/Other,2,0,2
Brooklyn,2023,Driver/Passenger,103,2,35
Brooklyn,2023,Pedestrian/Cyclist/Other,1,0,1
Brooklyn,2024,Driver/Passenger,127,1,37
Brooklyn,2024,Pedestrian/Cyclist/Other,3,0,3
Brooklyn,2025,Driver/Passenger,117,1,27
Brooklyn,2025,Pedestrian/Cyclist/Other,1,0,0
