town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Burlington,2012,Pedestrian/vehicle,1,0,1
Burlington,2012,Vehicle/vehicle,101,0,21
Burlington,2013,Cyclist/vehicle,2,0,2
Burlington,2013,Vehicle/vehicle,109,0,30
Burlington,2014,Cyclist/vehicle,1,0,1
Burlington,2014,Vehicle/vehicle,109,0,26
Canaan,2010,Vehicle/vehicle,30,0,7
Canaan,2011,Vehicle/vehicle,19,1,5
Canaan,2012,Vehicle/vehicle,24,0,9
Canaan,2013,Vehicle/vehicle,40,1,12
Canaan,2014,Vehicle/vehicle,22,0,6
Canterbury,2010,Pedestrian/vehicle,1,0,1
Canterbury,2010,Vehicle/vehicle,54,1,8
Canterbury,2011,Pedestrian/vehicle,1,0,1
Canterbury,2011,Vehicle/vehicle,44,1,13
Canterbury,2012,Vehicle/vehicle,66,1,17
Canterbury,2013,Vehicle/vehicle,68,2,20
Canterbury,2014,Vehicle/vehicle,71,0,22
Canton,2010,Cyclist/vehicle,1,0,1
Canton,2010,Pedestrian/vehicle,2,0,1
Canton,2010,Vehicle/vehicle,222,1,64
Canton,2011,Pedestrian/vehicle,2,0,2
Canton,2011,Vehicle/vehicle,229,0,51
Canton,2012,Cyclist/vehicle,3,0,3
Canton,2012,Pedestrian/vehicle,2,0,2
Canton,2012,Vehicle/vehicle,226,0,35
Canton,2013,Cyclist/vehicle,1,0,0
Canton,2013,Vehicle/vehicle,165,0,26
Canton,2014,Vehicle/vehicle,150,0,28
Chaplin,2010,Vehicle/vehicle,47,0,14
Chaplin,2011,Vehicle/vehicle,36,0,10
Chaplin,2012,Pedestrian/vehicle,3,0,2
Chaplin,2012,Vehicle/vehicle,43,0,8
Chaplin,2013,Vehicle/vehicle,45,0,11
Chaplin,2014,Vehicle/vehicle,37,1,11
Cheshire,2010,Cyclist/vehicle,2,0,2
Cheshire,2010,Pedestrian/vehicle,3,1,3
Cheshire,2010,Vehicle/vehicle,725,0,188
Cheshire,2011,Cyclist/vehicle,2,0,2
Cheshire,2011,Pedestrian/vehicle,3,0,3
Cheshire,2011,Vehicle/vehicle,606,0,167
Cheshire,2012,Cyclist/vehicle,4,0,4
Cheshire,2012,Pedestrian/vehicle,1,0,1
Cheshire,2012,Vehicle/vehicle,647,1,134
Cheshire,2013,Pedestrian/vehicle,2,0,2
Cheshire,2013,Vehicle/vehicle,623,2,158
Cheshire,2014,Cyclist/vehicle,4,0,3
Cheshire,2014,Pedestrian/vehicle,2,2,2
Cheshire,2014,Vehicle/vehicle,485,0,101
Chester,2010,Vehicle/vehicle,85,0,22
Chester,2011,Cyclist/vehicle,1,0,1
Chester,2011,Vehicle/vehicle,65,0,12
Chester,2012,Cyclist/vehicle,2,0,2
Chester,2012,Pedestrian/vehicle,1,0,1
Chester,2012,Vehicle/vehicle,64,0,11
Chester,2013,Pedestrian/vehicle,1,0,1
Chester,2013,Vehicle/vehicle,68,0,19
Chester,2014,Vehicle/vehicle,49,0,11
Clinton,2010,Cyclist/vehicle,8,0,6
Clinton,2010,Pedestrian/vehicle,1,0,1
Clinton,2010,Vehicle/vehicle,284,1,65
Clinton,2011,Cyclist/vehicle,5,0,4
Clinton,2011,Pedestrian/vehicle,3,0,3
Clinton,2011,Vehicle/vehicle,202,0,60
Clinton,2012,Cyclist/vehicle,6,0,3
Clinton,2012,Pedestrian/vehicle,1,0,1
Clinton,2012,Vehicle/vehicle,269,0,58
Clinton,2013,Cyclist/vehicle,1,0,0
Clinton,2013,Pedestrian/vehicle,3,0,2
Clinton,2013,Vehicle/vehicle,219,0,41
Clinton,2014,Cyclist/vehicle,6,0,5
Clinton,2014,Pedestrian/vehicle,2,0,2
Clinton,2014,Vehicle/vehicle,241,1,55
Colchester,2010,Cyclist/vehicle,1,0,0
Colchester,2010,Pedestrian/vehicle,2,1,2
Colchester,2010,Vehicle/vehicle,270,1,49
Colchester,2011,Pedestrian/vehicle,2,0,2
Colchester,2011,Vehicle/vehicle,276,1,67
Colchester,2012,Pedestrian/vehicle,3,1,2
Colchester,2012,Vehicle/vehicle,254,1,45
Colchester,2013,Vehicle/vehicle,260,1,51
Colchester,2014,Pedestrian/vehicle,4,0,3
Colchester,2014,Vehicle/vehicle,226,1,41
Colebrook,2010,Vehicle/vehicle,24,0,6
Colebrook,2011,Vehicle/vehicle,20,0,7
Colebrook,2012,Vehicle/vehicle,26,0,5
Colebrook,2013,Vehicle/vehicle,28,0,8
Colebrook,2014,Vehicle/vehicle,28,1,6
Columbia,2010,Vehicle/vehicle,105,1,19
Columbia,2011,Pedestrian/vehicle,2,1,2
Columbia,2011,Vehicle/vehicle,89,0,27
Columbia,2012,Vehicle/vehicle,97,1,28
Columbia,2013,Cyclist/vehicle,1,0,0
Columbia,2013,Vehicle/vehicle,101,0,25
Columbia,2014,Cyclist/vehicle,1,0,0
Columbia,2014,Pedestrian/vehicle,3,0,3
Columbia,2014,Vehicle/vehicle,87,1,22
Cornwall,2010,Vehicle/vehicle,24,1,6
Cornwall,2011,Vehicle/vehicle,27,0,9
Cornwall,2012,Vehicle/vehicle,35,0,11
Cornwall,2013,Vehicle/vehicle,24,0,3
Cornwall,2014,Vehicle/vehicle,28,0,5
Coventry,2010,Cyclist/vehicle,1,0,1
Coventry,2010,Pedestrian/vehicle,1,0,1
Coventry,2010,Vehicle/vehicle,234,2,75
Coventry,2011,Cyclist/vehicle,1,0,1
Coventry,2011,Pedestrian/vehicle,3,0,3
Coventry,2011,Vehicle/vehicle,179,0,59
Coventry,2012,Cyclist/vehicle,1,0,1
Coventry,2012,Pedestrian/vehicle,1,0,1
Coventry,2012,Vehicle/vehicle,195,0,61
Coventry,2013,Cyclist/vehicle,1,0,1
Coventry,2013,Vehicle/vehicle,203,2,51
Coventry,2014,Pedestrian/vehicle,1,0,1
Coventry,2014,Vehicle/vehicle,129,1,24
Cromwell,2010,Pedestrian/vehicle,3,0,3
Cromwell,2010,Vehicle/vehicle,565,4,136
Cromwell,2011,Cyclist/vehicle,2,0,1
Cromwell,2011,Pedestrian/vehicle,3,0,3
Cromwell,2011,Vehicle/vehicle,506,0,129
Cromwell,2012,Cyclist/vehicle,1,0,1
Cromwell,2012,Pedestrian/vehicle,2,0,2
Cromwell,2012,Vehicle/vehicle,519,1,127
Cromwell,2013,Cyclist/vehicle,1,0,1
Cromwell,2013,Pedestrian/vehicle,2,0,2
Cromwell,2013,Vehicle/vehicle,555,0,137
Cromwell,2014,Cyclist/vehicle,2,0,2
Cromwell,2014,Pedestrian/vehicle,1,0,1
Cromwell,2014,Vehicle/vehicle,497,1,116
Danbury,2010,Cyclist/vehicle,16,0,10
Danbury,2010,Pedestrian/vehicle,39,1,32
Danbury,2010,Vehicle/vehicle,2925,2,568
Danbury,2011,Cyclist/vehicle,15,1,15
Danbury,2011,Pedestrian/vehicle,34,1,33
Danbury,2011,Vehicle/vehicle,2318,3,645
Danbury,2012,Cyclist/vehicle,17,0,12
Danbury,2012,Pedestrian/vehicle,31,0,31
Danbury,2012,Vehicle/vehicle,2993,2,623
Danbury,2013,Cyclist/vehicle,10,0,9
Danbury,2013,Pedestrian/vehicle,28,0,26
Danbury,2013,Vehicle/vehicle,2963,6,553
Danbury,2014,Cyclist/vehicle,8,0,6
Danbury,2014,Pedestrian/vehicle,45,2,40
Danbury,2014,Vehicle/vehicle,2981,1,575
Darien,2010,Cyclist/vehicle,1,0,1
Darien,2010,Pedestrian/vehicle,5,1,5
Darien,2010,Vehicle/vehicle,764,3,168
Darien,2011,Cyclist/vehicle,3,0,3
Darien,2011,Pedestrian/vehicle,6,0,6
Darien,2011,Vehicle/vehicle,719,2,183
Darien,2012,Vehicle/vehicle,500,0,126
Darien,2013,Pedestrian/vehicle,6,0,6
Darien,2013,Vehicle/vehicle,745,1,184
Darien,2014,Pedestrian/vehicle,1,0,1
Darien,2014,Vehicle/vehicle,711,1,155
Deep River,2010,Pedestrian/vehicle,1,0,1
Deep River,2010,Vehicle/vehicle,62,1,13
Deep River,2011,Cyclist/vehicle,1,0,0
Deep River,2011,Pedestrian/vehicle,1,0,1
Deep River,2011,Vehicle/vehicle,72,0,27
Deep River,2012,Cyclist/vehicle,1,0,1
Deep River,2012,Pedestrian/vehicle,1,0,1
Deep River,2012,Vehicle/vehicle,80,0,19
Deep River,2013,Pedestrian/vehicle,1,0,1
Deep River,2013,Vehicle/vehicle,76,0,12
Deep River,2014,Pedestrian/vehicle,1,0,0
Deep River,2014,Vehicle/vehicle,69,0,14
Derby,2010,Cyclist/vehicle,1,0,1
Derby,2010,Pedestrian/vehicle,10,0,9
Derby,2010,Vehicle/vehicle,582,2,119
Derby,2011,Pedestrian/vehicle,7,0,7
Derby,2011,Vehicle/vehicle,523,0,122
Derby,2012,Cyclist/vehicle,1,0,1
Derby,2012,Pedestrian/vehicle,3,0,3
Derby,2012,Vehicle/vehicle,544,1,113
Derby,2013,Cyclist/vehicle,4,0,3
Derby,2013,Pedestrian/vehicle,6,0,5
Derby,2013,Vehicle/vehicle,548,1,104
Derby,2014,Cyclist/vehicle,2,0,2
Derby,2014,Pedestrian/vehicle,5,0,4
Derby,2014,Vehicle/vehicle,524,0,102
Durham,2010,Pedestrian/vehicle,1,0,1
Durham,2010,Vehicle/vehicle,145,1,48
Durham,2011,Pedestrian/vehicle,3,1,3
Durham,2011,Vehicle/vehicle,153,0,45
Durham,2012,Pedestrian/vehicle,1,1,1
Durham,2012,Vehicle/vehicle,146,0,51
Durham,2013,Cyclist/vehicle,1,0,1
Durham,2013,Vehicle/vehicle,139,1,44
Durham,2014,Cyclist/vehicle,1,0,1
Durham,2014,Pedestrian/vehicle,2,0,2
Durham,2014,Vehicle/vehicle,153,0,39
East Granby,2010,Cyclist/vehicle,1,0,1
East Granby,2010,Vehicle/vehicle,108,1,23
East Granby,2011,Vehicle/vehicle,91,0,34
East Granby,2012,Pedestrian/vehicle,1,0,1
East Granby,2012,Vehicle/vehicle,95,3,28
