town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bridgeport,2021,Cyclist/vehicle,23,0,20
Bridgeport,2021,Pedestrian/vehicle,97,3,88
Bridgeport,2021,Vehicle/vehicle,5858,4,1595
Bridgeport,2022,Cyclist/vehicle,19,0,18
Bridgeport,2022,Pedestrian/vehicle,135,4,125
Bridgeport,2022,Vehicle/vehicle,5577,7,1563
Bridgeport,2023,Cyclist/vehicle,17,0,14
Bridgeport,2023,Pedestrian/vehicle,111,2,102
Bridgeport,2023,Vehicle/vehicle,5329,5,1475
Bridgeport,2024,Cyclist/vehicle,30,0,23
Bridgeport,2024,Pedestrian/vehicle,146,5,132
Bridgeport,2024,Vehicle/vehicle,5413,7,1471
Bridgeport,2025,Cyclist/vehicle,36,0,22
Bridgeport,2025,Pedestrian/vehicle,129,2,118
Bridgeport,2025,Vehicle/vehicle,5374,7,1355
Bridgewater,2015,Vehicle/vehicle,22,0,8
Bridgewater,2016,Pedestrian/vehicle,1,0,1
Bridgewater,2016,Vehicle/vehicle,24,1,10
Bridgewater,2017,Vehicle/vehicle,26,0,9
Bridgewater,2018,Vehicle/vehicle,25,0,4
Bridgewater,2019,Vehicle/vehicle,33,0,11
Bridgewater,2020,Vehicle/vehicle,19,0,6
Bridgewater,2021,Vehicle/vehicle,35,0,15
Bridgewater,2022,Vehicle/vehicle,29,1,9
Bridgewater,2023,Vehicle/vehicle,42,0,16
Bridgewater,2024,Vehicle/vehicle,33,0,6
Bridgewater,2025,Vehicle/vehicle,35,0,5
Bristol,2015,Cyclist/vehicle,9,0,7
Bristol,2015,Pedestrian/vehicle,19,0,18
Bristol,2015,Vehicle/vehicle,1793,5,427
Bristol,2016,Cyclist/vehicle,5,1,5
Bristol,2016,Pedestrian/vehicle,21,1,20
Bristol,2016,Vehicle/vehicle,1813,3,436
Bristol,2017,Cyclist/vehicle,8,0,5
Bristol,2017,Pedestrian/vehicle,22,2,20
Bristol,2017,Vehicle/vehicle,1888,4,400
Bristol,2018,Cyclist/vehicle,4,0,3
Bristol,2018,Pedestrian/vehicle,22,2,22
Bristol,2018,Vehicle/vehicle,1704,2,380
Bristol,2019,Cyclist/vehicle,5,0,5
